id;pokedex;fecha_captura;lugar;huevo;peso;estatura
61;41;01-01-19;Independencia;0;9.1;0.9
62;41;26-06-19;Peñalolén;0;15.8;1.1
63;41;22-02-19;Independencia;0;4.8;0.4
64;41;22-02-19;Santiago;0;7.6;0.5
65;41;25-05-19;Santiago;0;6.3;0.6
66;44;09-01-19;Santiago;0;23.8;0.8
67;45;24-04-19;Santiago;0;20.8;1.3
68;48;14-06-19;Estacion Central;0;33.9;1.0
69;48;23-03-19;Estacion Central;0;29.7;0.9
70;48;22-02-19;Estacion Central;1;40.1;1.3
71;49;23-02-19;Macul;0;14.2;1.5
72;49;14-06-19;Macul;0;11.9;1.1
73;50;25-01-19;La Granja;0;0.9;0.3
74;51;05-06-19;Macul;0;33.9;0.7
75;52;05-06-19;Macul;0;4.5;0.6
76;52;03-07-19;Santiago;0;7.5;0.9
77;52;02-06-19;Independencia;0;3.1;0.3
78;53;09-01-19;Estacion Central;0;28.9;0.9
79;53;05-05-19;Estacion Central;0;27.0;1.0
80;55;04-04-19;Estacion Central;0;80.1;1.8
81;56;24-02-19;Independencia;0;25.0;0.6
82;57;21-06-19;La Reina;0;40.1;0.8
83;58;23-03-19;Independencia;0;26.7;0.9
84;58;06-01-19;Las Condes;1;23.5;0.8
85;58;23-02-19;Las Condes;0;25.0;0.7
86;60;01-06-19;Las Condes;0;12.7;0.6
87;60;23-06-19;La Florida;0;11.6;0.5
88;61;11-01-19;El Bosque;0;29.9;1.2
89;62;28-02-19;El Bosque;1;55.3;1.4
90;63;19-07-19;Huechuraba;0;13.4;0.7
91;63;01-06-19;Huechuraba;0;10.1;0.6
92;66;23-06-19;Huechuraba;0;20.0;0.9
93;66;28-06-19;Independencia;0;24.1;1.0
94;68;15-05-19;El Bosque;0;113.1;1.2
95;68;06-01-19;Independencia;0;120.5;1.4
96;68;19-04-19;Independencia;0;115.7;1.2
97;68;19-01-19;Santiago;0;130.4;1.6
98;70;02-05-19;Santiago;1;7.1;1.1
99;71;25-06-19;Santiago;0;20.4;1.9
100;71;10-01-19;San Bernardo;0;14.9;1.6
101;72;31-05-19;Estacion Central;0;40.1;0.8
102;72;25-06-19;San Bernardo;0;32.8;0.6
103;72;01-06-19;Santiago;0;45.3;0.9
104;72;21-03-19;Santiago;0;42.5;0.9
105;73;01-06-19;Independencia;0;60.9;1.8
106;76;01-06-19;Independencia;0;305.8;1.4
107;76;25-06-19;Maipu;0;320.1;1.6
108;77;16-03-19;Maipu;0;40.1;1.1
109;78;30-04-19;Santiago;0;124.6;1.7
110;78;14-03-19;Independencia;0;140.7;1.9
111;78;07-03-19;Las Condes;0;131.4;1.8
112;79;29-04-19;Las Condes;0;37.1;1.2
113;79;13-02-19;Estacion Central;0;40.8;1.3
114;80;29-05-19;Lo Barnechea;0;90.1;1.7
115;80;29-05-19;El Bosque;0;98.5;1.9
116;81;21-02-19;Lo Barnechea;0;5.9;0.4
117;81;22-03-19;El Bosque;0;7.1;0.6
118;81;22-03-19;Independencia;0;4.9;0.3
119;84;22-03-19;Independencia;0;40.9;1.4
120;84;11-07-19;El Bosque;0;35.1;1.3
121;85;28-04-19;San Miguel;0;85.8;1.8
122;85;18-07-19;Macul;0;99.9;2.0
123;86;26-05-19;Independencia;0;89.1;1.2
124;87;25-07-19;Macul;0;140.1;1.8
125;88;28-04-19;Estacion Central;0;31.9;0.9
126;89;28-07-19;San Bernardo;0;40.5;1.3
127;90;23-05-19;Huechuraba;0;6.1;0.3
128;90;30-07-19;Macul;0;7.9;0.4
129;90;23-05-19;Estacion Central;0;18.7;1.0
130;92;31-07-19;Santiago;0;0.1;1.3
131;92;28-06-19;Santiago;0;0.2;1.4
132;92;11-07-19;Quilicura;0;0.1;1.3
133;93;21-05-19;Santiago;1;0.1;1.6
134;94;12-07-19;Santiago;0;38.9;1.7
135;95;29-06-19;Santiago;0;240.8;8.9
136;96;26-07-19;Estacion Central;0;45.9;1.3
137;97;22-03-19;Estacion Central;0;80.4;1.7
138;97;22-03-19;La Cisterna;0;75.5;1.6
139;97;26-07-19;Estacion Central;0;71.9;1.4
140;99;26-04-19;Estacion Central;0;98.5;2.1
141;99;26-04-19;Independencia;1;101.1;2.2
142;100;24-07-19;Santiago;0;9.1;0.6
143;100;30-06-19;Maipu;0;9.5;0.6
144;101;26-04-19;Maipu;0;60.1;1.0
145;101;22-07-19;Peñalolén;0;66.9;1.2
146;102;18-05-19;Macul;0;1.9;0.2
147;103;21-07-19;Macul;0;125.9;2.1
148;103;19-07-19;Macul;0;120.8;2.0
149;103;22-04-19;Independencia;0;117.6;1.9
150;105;22-04-19;Santiago;0;44.9;0.9
151;105;30-06-19;Estacion Central;0;41.7;0.8
152;105;19-07-19;Estacion Central;0;50.8;1.1
153;105;27-03-19;Estacion Central;1;45.1;1.0
154;109;27-03-19;El Bosque;0;2.1;1.2
155;111;17-07-19;El Bosque;0;102.6;0.9
156;112;17-05-19;Lo Barnechea;0;130.9;2.0
157;112;30-06-19;Lo Barnechea;0;145.7;2.1
158;113;20-04-19;Independencia;0;38.8;1.0
159;114;19-04-19;Santiago;0;29.8;0.9
160;114;17-07-19;San Bernardo;0;35.0;1.1
161;116;14-05-19;San Bernardo;0;8.9;0.5
162;117;12-07-19;Providencia;0;40.2;1.8
163;119;12-07-19;Providencia;0;45.8;1.5
164;119;29-03-19;Providencia;0;41.7;1.2
165;121;09-07-19;Recoleta;0;87.9;1.1
166;121;29-03-19;Providencia;0;79.8;1.0
167;121;09-07-19;Providencia;0;80.1;1.0
168;121;31-03-19;Vitacura;0;82.5;1.2
169;123;31-03-19;Providencia;0;55.8;1.5
170;123;16-04-19;Providencia;0;52.0;1.4
171;123;06-07-19;Vitacura;0;53.3;1.2
172;123;06-07-19;Quinta Normal;0;51.9;1.5
173;125;04-01-19;Vitacura;0;45.1;1.5
174;125;21-07-19;Vitacura;0;40.2;1.3
175;126;16-04-19;Vitacura;0;50.1;1.3
176;127;12-05-19;Vitacura;0;62.6;1.7
177;127;04-01-19;Santiago;0;66.8;1.8
178;127;12-05-19;Santiago;0;56.7;1.2
179;127;16-04-19;Quinta Normal;0;52.8;1.1
180;131;13-04-19;Santiago;0;252.8;2.8
181;134;10-04-19;Santiago;0;24.7;1.0
182;135;09-05-19;Independencia;0;22.9;1.1
183;136;10-04-19;Santiago;0;24.4;1.0
184;137;03-01-19;Macul;0;36.5;0.9
185;138;31-03-19;Santiago;0;7.5;0.4
186;138;31-03-19;Independencia;0;8.9;0.5
187;138;09-05-19;Macul;0;15.5;1.1
188;139;10-04-19;Maipu;0;57.3;1.5
189;140;03-01-19;San Bernardo;0;15.5;0.6
190;143;04-05-19;Maipu;0;460.1;2.3
191;144;13-07-19;Independencia;0;55.4;1.7
192;145;06-04-19;Santiago;0;52.6;1.6
193;146;06-04-19;Estacion Central;0;60.0;2.0
194;147;04-05-19;Estacion Central;0;4.5;2.0
195;147;03-07-19;Estacion Central;0;3.1;1.8
196;148;01-05-19;Providencia;0;18.6;4.1
197;149;01-07-19;El Bosque;0;288.9;2.9
198;149;01-04-19;Conchali;0;279.5;2.4
199;149;01-04-19;Macul;0;290.1;3.0
